,,,,,,,,,,,,,,,,,,,,,,Reload,,,Reload,,,Reload,,,,,,,,,,,,,,,
Jane Hiatt,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Female,,Liberal Party of Australia,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Bean,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,ACT,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Unknown,,n/a,n/a,Unknown,,Unknown,,Advanced Diploma/Diploma/Assoc Diploma,https://www.linkedin.com/in/jane-hiatt-13926348/,Society and culture (incl Law),https://www.linkedin.com/in/jane-hiatt-13926348/,Other,https://www.linkedin.com/in/jane-hiatt-13926348/,-7.5,Unlikely,,N,n/a,n/a,Stephen,FALSE,FALSE,,,,Advanced Diploma and Associate Degree Level,Advanced Diploma/Diploma/Assoc Diploma,Linguistics,Navy,Navy,Miltiary,Linguistics,
David Smith,https://www.aph.gov.au/Senators_and_Members,Male ,,Australian Labor Party,https://www.aph.gov.au/Senators_and_Members,Bean,https://www.aph.gov.au/Senators_and_Members,ACT,https://www.aph.gov.au/Senators_and_Members,Right - Labour,https://www.smh.com.au/politics/federal/what-are-labor-s-factions-and-who-s-who-in-the-left-and-right-20210210-p5718j.html,No union,https://www.aph.gov.au/-/media/03_Senators_and_Members/32_Members/Register/46p/SZ/SmithD_46Pd.pdf?la=en&hash=C5820A548A0F17D1482CB1472C163A90306E82E9,Unknown,,25/03/1970,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=276714,Bachelor Degree,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=276714,Society and culture (incl Law),https://www.linkedin.com/in/david-smith-a1665ba/,Unions,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=276714,7.5,Safe,,Y,2019,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=276714,Stan,FALSE,FALSE,,,,Bachelor Degree Level,Bachelor Degree Level,English & Labour Law,Union official,Union official,Union Officials,English & Labour Law,Yes
Darin Schade,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Male ,,Liberal Party of Australia,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Bendigo,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,VIC,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Unknown,,n/a,n/a,Unknown,,Unknown,,Postgraduate,https://www.linkedin.com/in/darin-schade/,Management and Commerce,https://www.linkedin.com/in/darin-schade/,Other,https://www.linkedin.com/in/darin-schade/,-8.9,Unlikely,,N,n/a,n/a,Hufflepuff,FALSE,FALSE,,,,Master Degree Level,Postgraduate Degree,Business,Banking and Finance,Banking and Finance,Managers,Business,N
Lisa Chesters,https://www.aph.gov.au/Senators_and_Members,Female,,Australian Labor Party,https://www.aph.gov.au/Senators_and_Members,Bendigo,https://www.aph.gov.au/Senators_and_Members,VIC,https://www.aph.gov.au/Senators_and_Members,Left - Labour,https://www.smh.com.au/politics/federal/what-are-labor-s-factions-and-who-s-who-in-the-left-and-right-20210210-p5718j.html,United Workers Union (incl United Voice),https://www.aph.gov.au/-/media/03_Senators_and_Members/32_Members/Register/46p/CF/ChestersL_46P.pdf?la=en&hash=9FF1058CE34008AB3B38846A2A110A7FDBA4E497,Unknown,,11/02/1980,https://en.wikipedia.org/wiki/Lisa_Chesters,Bachelor Degree,https://en.wikipedia.org/wiki/Lisa_Chesters,Society and culture (incl Law),https://en.wikipedia.org/wiki/Lisa_Chesters,Unions,https://en.wikipedia.org/wiki/Lisa_Chesters,8.9,Safe,,Y,2013,https://en.wikipedia.org/wiki/Lisa_Chesters,Hufflepuff,FALSE,FALSE,Please replace wiki references,,,Bachelor Degree Level,Bachelor Degree Level,Arts,Union Organisor,Union Organisor,Union Officials,Arts,Yes
Jerome Laxale,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Male ,,Australian Labor Party,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Bennelong,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,NSW,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,-6.9,Unlikely,,N,n/a,n/a,Ben,FALSE,FALSE,,,,,Unknown,,,Unknown,,Unknown,Yes
Simon Kennedy,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Male ,https://nswliberal.org.au/Simon-Kennedy,Liberal Party of Australia,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Bennelong,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,NSW,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Unknown,,n/a,n/a,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,6.9,Safe,https://www.theguardian.com/australia-news/ng-interactive/2022/apr/10/australian-election-2022-seat-explorer,N,n/a,n/a,Ben,FALSE,FALSE,,,,,Unknown,,,Unknown,,Unknown,Yes
Julian Leeser,https://www.aph.gov.au/Senators_and_Members,Male ,,Liberal Party of Australia,https://www.aph.gov.au/Senators_and_Members,Berowra,https://www.aph.gov.au/Senators_and_Members,NSW,https://www.aph.gov.au/Senators_and_Members,Centre Right - Liberals,https://www.smh.com.au/politics/federal/who-s-who-in-the-liberals-left-right-and-centre-factions-20210303-p577gv.html,n/a,n/a,Unknown,,25/05/1976,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=109556,Bachelor Degree,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=109556,Society and culture (incl Law),https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=109556,Lawyers,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=109556,15.6,Safe,,Y,2016,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=109556,Ben,FALSE,FALSE,,,,Bachelor Degree Level,Bachelor Degree Level,Law,Law,Law,Lawyers,Law,Yes
Benson Koschinski,https://www.aec.gov.au/election/candidates.htm,Male ,,Australian Labor Party,https://www.aec.gov.au/election/candidates.htm,Berowra,https://www.aec.gov.au/election/candidates.htm,NSW,https://www.aec.gov.au/election/candidates.htm,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,-15.6,Unlikely,,N,n/a,,New,,,,,,,,,,,,,
Sam Biggins,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Male ,,Liberal National Party of Queensland,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Blair,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,QLD,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Unknown,,n/a,n/a,Unknown,,01/01/1986,https://ipswichnewstoday.com.au/news/2021/12/22/lnp-chooses-blair-candidate/,Postgraduate,https://www.linkedin.com/in/sam-biggins-023b0612/,Management and commerce,https://www.linkedin.com/in/sam-biggins-023b0612/,Other,https://www.linkedin.com/in/sam-biggins-023b0612/,-1.2,Swing,,N,n/a,n/a,Stephen,FALSE,FALSE,Age only. no DOB,,,Graduate Certificate Level,Graduate Diploma/Graduate Certificate,Finance,Real Estate,Real Estate,Sales workers,Finance,Yes
Shayne Neumann,https://www.aph.gov.au/Senators_and_Members,Male ,https://www.shayneneumann.com.au/about/about-shayne/,Australian Labor Party,https://www.aph.gov.au/Senators_and_Members,Blair,https://www.aph.gov.au/Senators_and_Members,QLD,https://www.aph.gov.au/Senators_and_Members,Right - Labour,https://www.smh.com.au/politics/federal/what-are-labor-s-factions-and-who-s-who-in-the-left-and-right-20210210-p5718j.html,No union,https://www.aph.gov.au/-/media/03_Senators_and_Members/32_Members/Register/46p/KN/Neumann_46P.pdf?la=en&hash=C4F4241AF1FE35CA3413B250D1CF39D2E5403FF9,Unknown,,26/08/1961,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HVO,Bachelor Degree,https://www.shayneneumann.com.au/about/about-shayne/,Society and culture (incl Law),https://www.shayneneumann.com.au/about/about-shayne/,Lawyers,https://www.shayneneumann.com.au/about/about-shayne/,1.2,Swing,,Y,2007,https://www.shayneneumann.com.au/about/about-shayne/,Greg,FALSE,FALSE,,,,Bachelor Degree Level,Bachelor Degree Level,Law & Economics,Law,Law,Lawyers,Law & Economics,Yes
